example_id,label
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,1
554,0
555,0
556,1
557,0
558,0
559,1
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,0
596,0
597,1
598,1
599,1
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,1
648,1
649,1
650,0
651,1
652,1
653,0
654,1
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,1
681,0
682,1
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,0
706,1
707,0
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,0
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,1
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,1
772,0
773,0
774,1
775,1
776,1
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,1
795,0
796,1
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,1
805,1
806,1
807,1
808,0
809,1
810,1
811,1
